true:
(10, -16)
(10, -7)
(10, 10)
(10, 11)
(10, 12)
(10, 13)
(10, 14)
(10, 18)
(10, 2)
(10, 20)
(10, 3)
(10, 8)
(11, -19)
(11, -6)
(11, -9)
(11, 14)
(11, 15)
(11, 16)
(11, 7)
(12, -11)
(12, -12)
(12, -16)
(12, -2)
(12, -20)
(12, -3)
(12, -4)
(12, 1)
(12, 10)
(12, 11)
(12, 15)
(12, 16)
(12, 18)
(12, 19)
(12, 4)
(12, 6)
(12, 8)
(13, -1)
(13, -17)
(13, -18)
(13, -4)
(13, -6)
(13, -8)
(13, 13)
(13, 2)
(13, 6)
(13, 9)
(14, -1)
(14, -10)
(14, -11)
(14, -18)
(14, -2)
(14, -8)
(14, -9)
(14, 1)
(14, 15)
(14, 17)
(14, 4)
(15, -16)
(15, -20)
(15, 1)
(15, 11)
(15, 12)
(15, 13)
(15, 15)
(15, 16)
(15, 17)
(15, 18)
(15, 20)
(15, 6)
(16, -1)
(16, -11)
(16, -12)
(16, -20)
(16, -3)
(16, -4)
(16, 10)
(16, 16)
(17, -1)
(17, -13)
(17, -14)
(17, -17)
(17, -19)
(17, -3)
(17, -4)
(17, 11)
(17, 12)
(17, 20)
(17, 5)
(18, -10)
(18, -12)
(18, -17)
(18, -18)
(18, -19)
(18, -8)
(18, 11)
(18, 13)
(18, 17)
(18, 19)
(18, 20)
(18, 5)
(18, 7)
(18, 8)
(19, -14)
(19, -6)
(19, -8)
(19, -9)
(19, 10)
(19, 13)
(19, 15)
(19, 18)
(19, 4)
(19, 5)
(19, 6)
(19, 7)
(20, -12)
(20, -13)
(20, -14)
(20, -2)
(20, -20)
(20, -7)
(20, 17)
(20, 19)
(20, 3)
(20, 4)
(20, 5)
(20, 6)
(7, -1)
(7, -10)
(7, -18)
(7, -19)
(7, -3)
(7, -6)
(7, -7)
(7, 1)
(7, 10)
(7, 18)
(7, 3)
(7, 4)
(7, 6)
(7, 7)
(8, -10)
(8, -12)
(8, -13)
(8, -14)
(8, -19)
(8, -3)
(8, 16)
(8, 17)
(8, 20)
(8, 4)
(8, 5)
(8, 7)
(8, 9)
(9, -12)
(9, -14)
(9, -15)
(9, -18)
(9, -5)
(9, -6)
