(-1, 1)
(1, -2)
(3, 1)
(-1, -3)
(-2, 3)
(-3, -2)
(-2, -3)
(-1, -4)
(4, -1)
(-3, -3)
(4, 2)
(-4, -2)
(2, -4)
(4, 3)
(-3, 4)
(-4, 3)
(-4, -3)
(-3, -4)
(3, -4)
(4, -3)
(1, 5)
(-5, 1)
(-5, -1)
(1, -5)
(-2, 5)
(-2, -5)
(2, -5)
(4, 4)
(-4, -4)
(3, 5)
(-3, -5)
(3, -5)
(-1, 6)
(-6, -1)
(-2, 6)
(-2, -6)
(5, 4)
(-5, -4)
(-4, -5)
(-6, 3)
(-3, -6)
(5, 5)
(1, 7)
(-1, 7)
(-5, 5)
(-7, 1)
(-7, -1)
(-6, -4)
(6, -4)
(-2, 7)
(7, -2)
(7, 3)
(-6, -5)
(5, -6)
(6, -5)
(8, 1)
(7, 4)
(-8, 1)
(-8, -1)
(8, -1)
(2, 8)
(-2, 8)
(-8, -2)
(-2, -8)
(2, -8)
(8, -2)
(-3, -8)
(5, 7)
(-7, 5)
(4, 8)
(-8, 4)
(-8, -4)
(-4, -8)
(4, -8)
(-9, 1)
(1, -9)
(-6, -7)
(6, -7)
(7, -6)
(8, 5)
(-5, -8)
(5, -8)
(9, 3)
(3, 9)
(-9, 3)
(-3, -9)
(9, -3)
(4, 9)
(-4, 9)
(-4, -9)
(-7, 7)
(7, -7)
(-8, 6)
(8, -6)
(1, 10)
(-10, 1)
(-10, -1)
(1, -10)
(10, 2)
(2, 10)
(-2, 10)
(2, -10)
(5, 9)
(8, 7)
(-7, 8)
(-7, -8)
(7, -8)
(-10, 4)
(-10, -4)
(4, -10)
(10, -4)
(6, 9)
(-6, 9)
(-9, 6)
(6, -9)
(-1, -11)
(5, 10)
(-2, 11)
(-5, 10)
(-10, 5)
(-11, -2)
(-5, -10)
(2, -11)
(5, -10)
(10, -5)
(-8, -8)
(7, 9)
(-9, -7)
(11, -3)
(10, 6)
(6, 10)
(-6, 10)
(-10, -6)
(-6, -10)
(6, -10)
(-11, 4)
(11, -4)
(9, 8)
(-1, 12)
(-9, -8)
(8, -9)
(12, -1)
(5, 11)
(-11, 5)
(-5, -11)
(5, -11)
(11, -5)
(-2, 12)
(12, -2)
(10, 7)
(-10, 7)
(-7, -10)
(10, -7)
(-3, 12)
(-12, -3)
(6, 11)
(-6, 11)
(-11, -6)
(4, 12)
(-12, -4)
(12, -4)
(10, 8)
(8, 10)
(-8, 10)
(-10, -8)
(10, -8)
(12, 5)
(5, 12)
(5, -12)
(12, -5)
(7, 11)
(-1, 13)
(-7, 11)
(-11, 7)
(-13, -1)
(1, -13)
(13, 2)
(-2, 13)
(-13, 2)
(-2, -13)
(13, 3)
(3, 13)
(-13, 3)
(6, 12)
(-6, -12)
(-9, 10)
(-10, 9)
(10, -9)
(13, 4)
(11, 8)
(8, 11)
(-11, 8)
(-11, -8)
(-8, -11)
(4, -13)
(11, -8)
(12, 7)
(-12, 7)
(-12, -7)
(-7, -12)
(-5, 13)
(-5, -13)
(1, 14)
(-1, 14)
(10, 10)
(-10, 10)
(-14, -2)
(-2, -14)
(10, -10)
(-9, 11)
(-11, -9)
(9, -11)
(14, 3)
(13, 6)
(6, 13)
(3, 14)
(-14, -3)
(-3, -14)
(6, -13)
(13, -6)
(14, -3)
(12, 8)
(14, 4)
(4, -14)
(14, -4)
(-7, 13)
(-13, 7)
(-13, -7)
(-7, -13)
(13, -7)
(11, 10)
(10, 11)
(-10, 11)
(-14, -5)
(11, -10)
(-12, 9)
(-1, 15)
(-15, -1)
(2, 15)
(-15, 2)
(-15, -2)
(14, 6)
(6, 14)
(-6, -14)
(13, 8)
(8, 13)
(-13, -8)
(15, 3)
(3, 15)
(3, -15)
(15, -3)
(15, 4)
(-4, -15)
(11, 11)
(-11, 11)
(11, -11)
(12, 10)
(-10, -12)
(14, 7)
(-14, 7)
(-14, -7)
(-7, -14)
(7, -14)
(-9, 13)
(-13, 9)
(-15, -5)
(-9, -13)
(1, 16)
(-16, 1)
(-16, -1)
(16, -1)
(14, 8)
(8, 14)
(-2, 16)
(-16, -2)
(14, -8)
(-15, 6)
(15, -6)
(16, 3)
(11, 12)
(-11, 12)
(-12, -11)
(-3, -16)
(3, -16)
(11, -12)
(12, -11)
(-13, 10)
(16, 4)
(4, 16)
(4, -16)
(15, 7)
(7, 15)
(-15, 7)
(-7, -15)
(9, -14)
(14, -9)
(16, 5)
(16, -5)
(-12, -12)
(-15, 8)
(-8, -15)
(13, 11)
(-17, 1)
(-17, -1)
(1, -17)
(11, -13)
(13, -11)
(-16, 6)
(16, -6)
(17, 2)
(-2, 17)
(-17, 2)
(-17, -2)
(-2, -17)
(17, -2)
(14, 10)
(-10, 14)
(-10, -14)
(-3, 17)
(3, -17)
(17, -3)
(16, 7)
(4, 17)
(-17, 4)
(-16, -7)
(-7, -16)
(7, -16)
(-15, 9)
(-9, -15)
(9, -15)
(13, 12)
(-12, 13)
(-13, -12)
(-5, 17)
(-17, 5)
(-14, 11)
(-14, -11)
(11, -14)
(6, 17)
(-6, 17)
(-10, 15)
(-17, 6)
(-18, 1)
(-18, -1)
(-15, -10)
(-6, -17)
(-1, -18)
(1, -18)
(2, 18)
(-18, -2)
(18, -2)
(18, 3)
(-18, 3)
(18, -3)
(-16, 9)
(7, 17)
(-7, 17)
(-17, -7)
(7, -17)
(18, 4)
(14, 12)
(12, 14)
(-12, 14)
(-14, 12)
(-18, 4)
(-14, -12)
(-4, -18)
(4, -18)
(-15, 11)
(15, -11)
(18, 5)
(5, 18)
(-5, 18)
(5, -18)
(18, -5)
(17, 8)
(8, 17)
(-17, 8)
(-17, -8)
(17, -8)
(16, 10)
(10, 16)
(-10, 16)
(-16, 10)
(16, -10)
(6, 18)
(-18, 6)
(-18, -6)
(18, -6)
(19, 1)
(-19, -1)
(19, -1)
(19, 2)
(-14, -13)
(-2, -19)
(2, -19)
(13, -14)
(12, 15)
(-15, -12)
(-12, -15)
(17, 9)
(9, 17)
(-3, 19)
(-9, 17)
(-19, 3)
(-9, -17)
(-3, -19)
(9, -17)
(19, -3)
(-7, 18)
(-18, -7)
(18, -7)
(11, 16)
(-4, 19)
(-19, 4)
(-19, -4)
(-16, -11)
(-4, -19)
(4, -19)
(16, -11)
(19, -4)
(5, 19)
(-5, 19)
(-19, 5)
(-5, -19)
(-18, 8)
(-8, -18)
(8, -18)
(18, -8)
(-10, 17)
(-10, -17)
(10, -17)
(14, -14)
(15, 13)
(-13, -15)
(6, -19)
(19, -6)
(-12, 16)
(-12, -16)
(16, -12)
(-1, 20)
(-20, 1)
(-20, -1)
(2, -20)
(-9, 18)
(-18, 9)
(-18, -9)
(9, -18)
(18, -9)
(3, 20)
(-3, 20)
(17, 11)
(11, 17)
(7, 19)
(-19, -7)
(17, -11)
(19, -7)
(-20, -4)
(15, 14)
(-14, 15)
(14, -15)
(-10, 18)
(10, -18)
(19, 8)
(8, 19)
(5, 20)
(-8, 19)
(-16, 13)
(-20, -5)
(-19, -8)
(8, -19)
(16, -13)
(-12, 17)
(12, -17)
(17, -12)
(6, 20)
(-6, 20)
(-20, -6)
(21, 1)
(19, 9)
(-19, 9)
(-19, -9)
(-9, -19)
(1, -21)
(19, -9)
(18, 11)
(2, 21)
(-11, 18)
(-18, -11)
(-2, -21)
(18, -11)
(20, 7)
(7, 20)
(20, -7)
(-3, 21)
(-21, 3)
(-21, -3)
(-3, -21)
(16, -14)
(4, 21)
(-21, 4)
(-21, -4)
(13, 17)
(13, -17)
(17, -13)
(19, 10)
(10, 19)
(-10, 19)
(-19, 10)
(-19, -10)
(8, 20)
(-8, 20)
(-8, -20)
(8, -20)
(21, -5)
(12, 18)
(-18, 12)
(21, 6)
(-6, 21)
(-21, -6)
(15, 16)
(-9, 20)
(-15, -16)
(-11, 19)
(-19, -11)
(19, -11)
(22, 1)
(17, 14)
(-22, 1)
(-17, -14)
(1, -22)
(17, -14)
(22, -1)
(-2, 22)
(-22, -2)
(13, 18)
(3, 22)
(-22, 3)
(-22, -3)
(-13, -18)
(3, -22)
(18, -13)
(22, 4)
(20, 10)
(10, 20)
(4, 22)
(-4, 22)
(-10, 20)
(-22, 4)
(-22, -4)
(-20, -10)
(-10, -20)
(4, -22)
(19, 12)
(8, 21)
(-12, 19)
(-21, -8)
(-19, -12)
(-12, -19)
(12, -19)
(5, 22)
(-22, 5)
(16, 16)
(16, -16)
(-17, 15)
(15, -17)
(17, -15)
(14, 18)
(6, 22)
(-6, 22)
(-14, 18)
(-18, 14)
(-22, 6)
(-22, -6)
(-18, -14)
(-14, -18)
(-6, -22)
(20, 11)
(11, 20)
(-20, 11)
(-20, -11)
(-11, -20)
(-21, -9)
(-9, -21)
(9, -21)
(21, -9)
(23, 1)
(-1, 23)
(-13, 19)
(-23, 1)
(-23, -1)
(-19, -13)
(-13, -19)
(-2, 23)
(-7, 22)
(-22, 7)
(-22, -7)
(-7, -22)
(23, 3)
(-3, -23)
(23, -3)
(21, 10)
(10, 21)
(-10, -21)
(10, -21)
(-12, 20)
(-20, 12)
(-12, -20)
(20, -12)
(17, 16)
(-16, 17)
(-16, -17)
(-4, -23)
(8, 22)
(-8, 22)
(-22, 8)
(18, 15)
(15, 18)
(-18, 15)
(-18, -15)
(18, -15)
(-23, 5)
(-5, -23)
(23, -5)
(21, 11)
(-11, 21)
(-21, -11)
(21, -11)
(22, 9)
(-22, 9)
(-23, 6)
(-22, -9)
(6, -23)
(23, -6)
(13, 20)
(1, 24)
(-1, -24)
(1, -24)
(17, 17)
(7, 23)
(17, -17)
(23, -7)
(-18, 16)
(-24, -2)
(-16, -18)
(-2, -24)
(16, -18)
(24, -2)
(-10, 22)
(-22, 10)
(-10, -22)
(24, 3)
(12, 21)
(-3, 24)
(-24, 3)
(-21, -12)
(-3, -24)
(15, 19)
(-15, 19)
(-19, 15)
(-19, -15)
(-15, -19)
(24, 4)
(-4, 24)
(-24, 4)
(4, -24)
(23, 8)
(8, 23)
(-8, -23)
(8, -23)
(-14, -20)
(20, -14)
(22, 11)
(11, 22)
(-11, 22)
(-22, 11)
(-22, -11)
(-11, -22)
(23, 9)
(13, 21)
(9, 23)
(-13, -21)
(9, -23)
(23, -9)
(24, 6)
(-6, 24)
(-24, 6)
(-6, -24)
(24, -6)
(17, 18)
(-17, -18)
(-16, 19)
(19, -16)
(20, 15)
(-20, 15)
(-25, -1)
(-1, -25)
(-12, 22)
(-22, 12)
(-22, -12)
(10, 23)
(23, -10)
(25, 3)
(3, 25)
(-3, 25)
(-25, 3)
(25, -3)
(21, 14)
(14, 21)
(-14, 21)
(-21, 14)
(14, -21)
(8, 24)
(-24, 8)
(-24, -8)
(24, -8)
(-4, 25)
(-25, -4)
(-18, 18)
(18, -18)
(19, 17)
(5, 25)
(-5, 25)
(-11, 23)
(-17, 19)
(-23, -11)
(-19, -17)
(-17, -19)
(-5, -25)
(23, -11)
(22, 13)
(-13, 22)
(-22, 13)
(13, -22)
(20, 16)
(16, 20)
(-9, 24)
(-24, -9)
(-9, -24)
(9, -24)
(24, -9)
(-25, -6)
(-6, -25)
(6, -25)
(25, -6)
(21, 15)
(23, 12)
(12, 23)
(-23, 12)
(-23, -12)
(12, -23)
(-7, -25)
(25, -7)
(24, 10)
(-10, 24)
(-24, 10)
(-24, -10)
(10, -24)
(26, 1)
(1, 26)
(-1, 26)
(14, 22)
(-14, 22)
(22, -14)
(26, -2)
(-26, -3)
(-3, -26)
(3, -26)
(26, -3)
(20, 17)
(8, 25)
(-8, 25)
(-17, 20)
(-25, 8)
(-20, -17)
(8, -25)
(17, -20)
(4, 26)
(-4, 26)
(4, -26)
(26, -4)
(-16, 21)
(-21, -16)
(11, -24)
(21, -16)
(24, -11)
(-23, 13)
(-23, -13)
(-13, -23)
(13, -23)
(26, -5)
(-9, 25)
(-9, -25)
(9, -25)
(15, 22)
(-6, -26)
(12, 24)
(12, -24)
(24, -12)
(-19, 19)
(20, 18)
(-18, 20)
(-20, 18)
(18, -20)
(25, 10)
(23, 14)
(10, 25)
(7, 26)
(-7, 26)
(-14, 23)
(-23, 14)
(-26, -7)
(-7, -26)
(14, -23)
(23, -14)
(25, -10)
(17, 21)
(1, 27)
(-1, 27)
(27, -1)
(-2, 27)
(-27, 2)
(27, 3)
(-27, -3)
(3, -27)
(26, 8)
(-26, 8)
(-26, -8)
(-8, -26)
(8, -26)
(16, -22)
(26, -8)
(24, 13)
(13, 24)
(-24, 13)
(-27, 4)
(-27, -4)
(-4, -27)
(13, -24)
(24, -13)
(27, -4)
(25, 11)
(-11, 25)
(-11, -25)
(27, 5)
(15, 23)
(5, 27)
(-5, 27)
(-15, 23)
(-23, 15)
(-27, -5)
(-23, -15)
(-5, -27)
(5, -27)
(15, -23)
(27, -5)
(9, 26)
(-9, 26)
(19, 20)
(-20, -19)
(-19, -20)
(21, 18)
(-6, 27)
(-21, 18)
(-6, -27)
(6, -27)
(12, 25)
(-25, -12)
(12, -25)
(14, 24)
(-14, -24)
(22, 17)
